,RMSE,Error > 1m,Error > 1m 24,Error > 1m 6
"(195, 255)",0.576425899,FALSE,FALSE,FALSE
"(195, 260)",0.289106384,FALSE,FALSE,FALSE
"(195, 265)",0.812121281,FALSE,FALSE,TRUE
"(195, 270)",0.015398288,FALSE,FALSE,FALSE
"(195, 275)",0.815301405,FALSE,FALSE,FALSE
"(195, 280)",0.347340096,FALSE,FALSE,FALSE
"(195, 285)",0.4100536,FALSE,FALSE,FALSE
"(195, 290)",0.781304517,FALSE,FALSE,FALSE
"(200, 235)",0.062637865,FALSE,FALSE,FALSE
"(200, 260)",0.556867953,FALSE,FALSE,FALSE
"(200, 265)",0.30492149,FALSE,FALSE,FALSE
"(200, 270)",0.804274668,FALSE,FALSE,TRUE
"(200, 275)",0.019297392,FALSE,FALSE,FALSE
"(200, 280)",0.819117314,FALSE,FALSE,FALSE
"(200, 285)",0.335162329,FALSE,FALSE,FALSE
"(200, 290)",0.438767625,FALSE,FALSE,FALSE
"(200, 295)",0.735981453,FALSE,FALSE,FALSE
"(200, 300)",0.052203873,FALSE,FALSE,FALSE
"(205, 245)",0.705749848,FALSE,FALSE,FALSE
"(205, 270)",0.265620418,FALSE,FALSE,FALSE
"(205, 275)",0.832817407,FALSE,FALSE,TRUE
"(205, 280)",0.011626226,FALSE,FALSE,FALSE
"(205, 285)",0.79457932,FALSE,FALSE,FALSE
"(205, 290)",0.324876082,FALSE,FALSE,FALSE
"(205, 295)",0.435909774,FALSE,FALSE,FALSE
"(205, 300)",0.754381532,FALSE,FALSE,FALSE
"(205, 305)",0.067412861,FALSE,FALSE,FALSE
"(205, 310)",0.553368175,FALSE,FALSE,FALSE
"(210, 300)",0.372862898,FALSE,FALSE,FALSE
"(210, 305)",0.806029319,FALSE,FALSE,FALSE
"(210, 310)",0.151516976,FALSE,FALSE,FALSE
"(210, 315)",0.472345207,FALSE,FALSE,FALSE
"(215, 280)",0.605997165,FALSE,FALSE,FALSE
"(215, 305)",0.244738167,FALSE,FALSE,FALSE
"(215, 310)",0.919901503,FALSE,FALSE,FALSE
"(215, 315)",0.283956022,FALSE,FALSE,FALSE
"(215, 320)",0.358968673,FALSE,FALSE,FALSE
"(215, 325)",0.879910665,FALSE,FALSE,FALSE
"(220, 280)",0.407609898,FALSE,FALSE,FALSE
"(220, 305)",0.665602753,FALSE,FALSE,FALSE
"(220, 310)",0.0494322,FALSE,FALSE,FALSE
"(220, 315)",0.740015704,FALSE,FALSE,FALSE
"(220, 320)",0.453598177,FALSE,FALSE,FALSE
"(220, 325)",0.168817275,FALSE,FALSE,FALSE
"(220, 330)",0.773511104,FALSE,FALSE,FALSE
"(220, 335)",0.481205811,FALSE,FALSE,FALSE
"(225, 310)",0.881268621,FALSE,FALSE,FALSE
"(225, 315)",0.17078934,FALSE,FALSE,FALSE
"(225, 320)",0.504652559,FALSE,FALSE,FALSE
"(225, 325)",0.684128898,FALSE,FALSE,FALSE
"(225, 330)",0.061380125,FALSE,FALSE,FALSE
"(225, 335)",0.530552535,FALSE,FALSE,FALSE
"(225, 340)",0.707239525,FALSE,FALSE,FALSE
"(225, 345)",0.212708867,FALSE,FALSE,FALSE
"(230, 320)",0.451532005,FALSE,FALSE,FALSE
"(230, 325)",0.214653486,FALSE,FALSE,FALSE
"(230, 330)",0.852063513,FALSE,FALSE,FALSE
"(230, 335)",0.344295769,FALSE,FALSE,FALSE
"(230, 340)",0.223951954,FALSE,FALSE,FALSE
"(230, 345)",0.735888657,FALSE,FALSE,FALSE
"(230, 350)",0.531316667,FALSE,FALSE,FALSE
"(230, 355)",0.079728984,FALSE,FALSE,FALSE
"(235, 330)",0.128225296,FALSE,FALSE,FALSE
"(235, 335)",0.49168053,FALSE,FALSE,FALSE
"(235, 340)",0.69787195,FALSE,FALSE,FALSE
"(235, 345)",0.152003458,FALSE,FALSE,FALSE
"(235, 350)",0.346511708,FALSE,FALSE,FALSE
"(235, 355)",0.799012082,FALSE,FALSE,FALSE
"(235, 360)",0.496223476,FALSE,FALSE,FALSE
"(235, 365)",0.123023491,FALSE,FALSE,FALSE
"(240, 315)",0.171900049,FALSE,FALSE,FALSE
"(240, 340)",0.067559138,FALSE,FALSE,FALSE
"(240, 345)",0.626733549,FALSE,FALSE,FALSE
"(240, 350)",0.588623916,FALSE,FALSE,FALSE
"(240, 355)",0.112801726,FALSE,FALSE,FALSE
"(240, 360)",0.326707385,FALSE,FALSE,FALSE
"(240, 365)",0.710714059,FALSE,FALSE,TRUE
"(240, 370)",0.595266205,FALSE,FALSE,FALSE
"(240, 375)",0.2916858,FALSE,FALSE,FALSE
"(245, 325)",0.219827335,FALSE,FALSE,FALSE
"(245, 350)",0.116131508,FALSE,FALSE,FALSE
"(245, 355)",0.612733616,FALSE,FALSE,FALSE
"(245, 360)",0.610457903,FALSE,FALSE,FALSE
"(245, 365)",0.192990538,FALSE,FALSE,FALSE
"(245, 370)",0.158977738,FALSE,FALSE,FALSE
"(245, 375)",0.450689938,FALSE,FALSE,FALSE
"(245, 380)",0.680465654,FALSE,FALSE,TRUE
"(250, 335)",0.127672333,FALSE,FALSE,FALSE
"(250, 360)",0.00174603,FALSE,FALSE,FALSE
"(250, 365)",0.425831038,FALSE,FALSE,FALSE
"(250, 370)",0.781215579,FALSE,FALSE,FALSE
"(250, 375)",0.492607665,FALSE,FALSE,FALSE
"(255, 340)",0.591299386,FALSE,FALSE,FALSE
"(255, 365)",0.679483329,FALSE,FALSE,FALSE
"(255, 370)",0.292347903,FALSE,FALSE,FALSE
"(255, 375)",0.037351225,FALSE,FALSE,FALSE
"(260, 340)",0.210548443,FALSE,FALSE,FALSE
"(260, 360)",0.682321736,FALSE,FALSE,FALSE
"(260, 365)",0.231106582,FALSE,FALSE,FALSE
"(260, 370)",0.154869102,FALSE,FALSE,FALSE
"(265, 360)",0.342200107,FALSE,FALSE,FALSE
"(265, 365)",0.080596121,FALSE,FALSE,FALSE
"(265, 370)",0.469961257,FALSE,FALSE,FALSE
"(315, 430)",0.092579422,FALSE,FALSE,FALSE
"(315, 435)",0.297364094,FALSE,FALSE,FALSE
"(320, 430)",0.592734215,FALSE,FALSE,FALSE
"(320, 435)",0.149150992,FALSE,FALSE,FALSE
"(325, 425)",0.279888182,FALSE,FALSE,FALSE
"(325, 430)",0.122772408,FALSE,FALSE,FALSE
"(330, 425)",0.571008187,FALSE,FALSE,FALSE
"(335, 410)",0.231838975,FALSE,FALSE,FALSE
"(335, 420)",0.143322857,FALSE,FALSE,FALSE
"(340, 415)",0.581084717,FALSE,FALSE,FALSE
mean,2.723256241,0.114583333,0.244791667,0.2109375
